"fecha","spi100","spi101","spi102","spi104","spi105","spi107","spi108","spi109","spi110","spi111","spi112","spi113","spi116","spi117","spi118","spi119","spi120","spi121","spi122","spi123","spi124","spi125","spi126","spi200","spi201","spi202","spi203","spi204","spi205","spi206"
"2015-09-01",0.5298032224,0.725142193,0.5449355085,0.6226774932,1.0256304855,0.3909385953,0.3265030988,0.9455215916,0.8312410272,1.2133167789,0.7548616026,0.6772264119,0.7790887845,0.6277607859,0.7834113787,0.4179490259,1.249372938,1.1130066622,0.7747357446,0.5221438901,0.8240513705,0.7351832192,0.607673471,1.0095579612,1.1349008725,1.1240853712,0.9111818748,1.1874226339,1.1705496268,1.3713438773
"2015-10-01",0.1520130972,0.8465990337,0.1527957413,-0.0078914052,0.4964885067,0.1556142005,0.5210633192,1.0502104741,0.1523880866,0.262442301,0.1724962135,0.7106555823,0.3548495648,0.3582754859,0.1874917058,0.3457629836,0.9733378362,1.222992477,0.4554308489,0.2258394634,-0.1816071051,0.2774278773,0.2516543395,0.6506574398,0.343269017,0.6346814455,0.4623987793,0.5161455397,0.4079463097,0.7454443009
"2015-11-01",0.3335105107,0.9157022064,0.1704675277,0.1614758147,0.1847034913,0.0915054412,0.6079050935,0.9303118908,0.3013018745,0.0750924338,0.5108979114,0.586388743,-0.2156316749,0.170136123,0.3540224813,0.2423735043,0.1568909116,0.704803193,-0.160057182,0.1310740815,0.1748219715,0.1331683559,-0.0453913142,0.224624473,0.5275215429,0.1010634599,0.1117221263,-0.2047856028,0.5266092651,0.16680542
"2015-12-01",-0.644158264,0.0523328057,-0.7806359673,-0.4277104205,-0.3377878182,-0.6712711639,-0.056669486,-0.3585753215,-0.4083995269,-0.2716705775,-0.3708150424,-0.2300533991,-1.0876655005,-0.1954036305,-0.6020358413,-0.4065840978,-0.5233193621,-0.3619035536,-1.0937305761,-0.5319860836,-0.5916197982,-0.6070909058,-0.1904157019,-0.2620316193,0.2271508519,-0.4553237642,-0.5061640597,-0.5900032882,0.0136894676,-0.665165108
"2016-01-01",-1.2071907511,-0.7025415735,-1.288795576,-0.6198687256,-0.8754478165,-1.0839326494,-0.8899816529,-1.0433242709,-0.7359122224,-1.1797466531,-1.1473667582,-0.9044910384,-1.7954297611,-0.8825008248,-1.199245299,-1.1238253633,-1.1405164589,-1.0463815302,-1.6498449967,-1.1007047259,-1.1828610511,-1.2438446201,-0.774515712,-1.2625188369,-0.0989774112,-1.309615549,-1.1090288251,-1.4360115877,-0.6694655276,-1.3274373825
"2016-02-01",-0.6619834072,-0.2334487398,-0.8537445378,-0.39316172,-0.3357433456,-0.3762118165,-0.5109025632,-0.3223945408,-0.4992226707,0.0319763289,-0.6007361582,-0.3641362435,-0.87784051,-0.4081208923,-0.6346325988,-0.3214227609,-0.1923640072,-0.0616628369,-0.5012869621,-0.4652561956,-0.6701698861,-0.5218227832,-0.1165397125,-0.7941959834,-0.1809705892,-0.7135084253,-0.8169619183,-0.5734676497,-0.3781935983,-0.6596883784
"2016-03-01",-0.8662697145,-0.5693432592,-1.1329265542,-0.8428643325,-0.6354856789,-0.6809795411,-0.9260847452,-0.5094501207,-0.8404431475,-0.2721586209,-0.8545572532,-0.7286446613,-1.1114808296,-0.8253045984,-0.8210192615,-0.5530425721,-0.4394537134,-0.2086910501,-0.6581708504,-0.7611093638,-0.8577357618,-0.832731458,-0.5610128666,-1.1906126505,-0.4972042829,-1.0513014053,-1.1844888892,-0.8030971904,-0.5556273655,-0.9245044277
"2016-04-01",-0.1893473379,0.0871441747,-0.4053459456,-0.6256539901,0.0098645592,-0.1658987092,-0.2011241781,0.3170179584,-0.4808399952,0.5324300911,-0.1089768012,-0.0578893608,-0.1925889599,-0.2462695171,-0.1375263966,0.1075919278,0.2591942368,0.4450870254,0.1529127916,-0.2150063424,-0.1280659362,-0.0747287433,0.0950050831,-0.2876922657,-0.18340763,-0.2619186458,-0.4991108806,-0.0472278732,0.1300602792,-0.1164490137
"2016-05-01",-1.7607826668,-1.3151654587,-2.0501562224,-1.7742606403,-0.9619995737,-1.7278902633,-1.6389267549,-1.3326010085,-1.9361378547,-1.1462199551,-1.6934417643,-1.5283995602,-2.212768714,-1.1999178262,-1.8054205359,-1.4961202884,-1.2362656612,-0.7152522095,-2.0440160424,-1.7280015161,-1.4308458465,-1.7473237665,-1.3216847368,-0.7223091369,-0.5763515238,-0.7111339224,-1.1565486323,-0.668221696,-0.5266101309,-0.7202252696
"2016-06-01",0.1565814515,0.435738889,-0.2269325513,0.2131426683,1.3332246146,-0.2658081536,0.1520492576,0.5991127488,-0.4552632433,1.0768135352,-0.147661211,0.4247303386,0.0313492951,0.8087468636,0.0697244045,-0.0345684843,0.6825051249,1.5208573137,-0.3115264499,-0.4433079945,-0.2563835218,0.2389455096,0.6296585709,0.5057717046,-0.0548332305,1.3202964358,0.7724541011,1.6747073618,-0.375877724,1.5013401981
